01,农、林、牧、渔业
02,采矿业
03,制造业
04,电力、热力、燃气及水生产和供应业
05,建筑业
06,批发和零售业
07,交通运输、仓储和邮政业
08,住宿和餐饮业
09,信息传输、软件和信息技术服务业
10,金融业
11,房地产业
12,租赁和商务服务业
13,科学研究和技术服务业
14,水利、环境和公共设施管理业
15,居民服务、修理和其他服务业
16,教育
17,卫生和社会工作
18,文化、体育和娱乐业
19,公共管理、社会保障和社会组织
20,国际组织
99,其他
